"sample","condition","sample_region","individuum","big_area","area","Acronym","condition__Acronym","RIN"
"X3_68","X","X_68","X3","Diencephalon","Medial Dorsal Thalamus","MDTH","X__MDTH",6.6
"X3_69","X","X_69","X3","Diencephalon","Hypothalamus","HYP","X__HYP",7.1
"X3_72","X","X_72","X3","White Matter","Internal Capsule","IC","X__IC",7.5
"X3_73","X","X_73","X3","White Matter","Corpus Callosum Anterior","CCa","X__CCa",6.3
"X3_74","X","X_74","X3","White Matter","Posterior Corpus Callosum","CCp","X__CCp",6.5
"X3_75","X","X_75","X3","Cerebellum","Cerebellar White Matter","CB_WM","X__CB_WM",7
"X5_1","X","X_1","X5","Cerebellum","Cerebellar Grey Matter","CB_GM","X__CB_GM",8.5
"X5_15","X","X_15","X5","Frontal Lobe","1ary Motor Ctx","BA4","X__BA4",7.3
"X5_16","X","X_16","X5","Temporal Lobe","1ary Auditory Ctx","BA41_42","X__BA41_42",7
"X5_17","X","X_17","X5","Occipital Lobe","Anterior Striate Ctx- 1ary Visual Ctx","BA17a","X__BA17a",7.3
"X5_18","X","X_18","X5","Parietal Lobe","1ary Somatosensory Ctx","BA3_1_2","X__BA3_1_2",7.3
"X5_27","X","X_27","X5","Occipital Lobe","Anterior Extrastriate Ctx- 2ary Visual Ctx","BA18_19a","X__BA18_19a",7.5
"X5_28","X","X_28","X5","Temporal Lobe","2ary Auditory Ctx- Wernicke","BA22p","X__BA22p",6.5
"X5_29","X","X_29","X5","Parietal Lobe","Precuneus","BA7m","X__BA7m",7.2
"X5_30","X","X_30","X5","Frontal Lobe","Premotor Ctx Anterior Lateral","BA6a","X__BA6a",7.4
"X5_31","X","X_31","X5","Parietal Lobe","Supramarginal Gyrus Posterior","BA40p","X__BA40p",6.5
"X5_32","X","X_32","X5","Frontal Lobe","Ventrolateral PreFrontal Ctx-Broca","BA44","X__BA44",6.7
"X5_33","X","X_33","X5","Temporal Lobe","visual processing, recognition memory","BA20a","X__BA20a",6.7
"X5_34","X","X_34","X5","Frontal Lobe","Dorsolateral Prefrontal Ctx","BA9","X__BA9",6.9
"X5_37","X","X_37","X5","Temporal Lobe","2ary Auditory","BA21a","X__BA21a",8
"X5_43","X","X_43","X5","Temporal Lobe","Temporopolar Ctx","BA38","X__BA38",7.4
"X5_46","X","X_46","X5","Frontal Lobe","Medial Anterior Prefrontal Ctx","BA10m","X__BA10m",8.4
"X5_47","X","X_47","X5","Limbic Lobe","Cingulate Cortex Posterior","BA31","X__BA31",8.7
"X5_48","X","X_48","X5","Limbic Lobe","Cingulate Cortex Anterior","BA24","X__BA24",8.7
"X5_49","X","X_49","X5","Limbic Lobe","Cingulate Cortex Anterior","BA32","X__BA32",8.5
"X5_50","X","X_50","X5","Frontal Lobe","Orbitofrontal Ctx","BA11","X__BA11",8.5
"X5_52","X","X_52","X5","Limbic Lobe","Amygdala","AMG","X__AMG",7.5
"X5_53","X","X_53","X5","Insula","Insular Cortex Posterior","INSp","X__INSp",8.2
"X5_54","X","X_54","X5","Limbic Lobe","Entorhinal Cortex","ENTCTX","X__ENTCTX",8.2
